,road,id,model_type,name,lat,lon,length,condition,length_class
556,N1,LRP302a,bridge,Hatirpul Bridge,21.9819040437735,92.080773326415,22.4,B,M
557,N1,LRP302ar,link,road278,21.98118320357965,92.07982247679016,244.5999999999959,-,-
558,N1,LRP302c,bridge,HATIAR PULL BOX CULVERT,21.9804623633858,92.0788716271653,18.7,A,M
559,N1,LRP302cr,link,road279,21.9798804688274,92.0773604267405,326.3000000000273,-,-
560,N1,LRP302e,bridge,SHIX DAR PARA BOX CULVERT,21.979298574269,92.0758492263157,3.5,A,S
561,N1,LRP302er,link,road280,21.9765834886094,92.07208485263669,1086.499999999975,-,-
562,N1,LRP303a,bridge,MUSKAMPANI PARA BOX CULVERT,21.9738684029498,92.0683204789577,2.5,A,S
563,N1,LRP303ar,link,road281,21.9714132613153,92.0662352953299,749.5000000000095,-,-
564,N1,LRP304b,bridge,AODU NAGOR (2) BOX CULVERT,21.9689581196808,92.0641501117021,1.5,A,S
565,N1,LRP304br,link,road282,21.96558598846785,92.0637334940863,669.4999999999923,-,-
566,N1,LRP305a,bridge,RATAR KUL- SONTI BRIDGE,21.9622138572549,92.0633168764705,22.4,A,M
567,N1,LRP305ar,link,road283,21.960726984272597,92.06429800315459,363.6000000000241,-,-
568,N1,LRP305c,bridge,BONPUKR PARA BOX CULVERT,21.9592401112903,92.0652791298387,8.2,A,S
569,N1,LRP305cr,link,road284,21.9586361374633,92.06583620582845,308.8000000000073,-,-
570,N1,LRP306a,bridge,BON PUKUL PARA BOX CULVERT,21.9580321636363,92.0663932818182,3.0,A,S
571,N1,LRP306ar,link,road285,21.9550558521636,92.06710354513174,612.9999999999854,-,-
572,N1,LRP306b,bridge,Santi Bridge,21.9520795406909,92.0678138084453,22.3,B,M
573,N1,LRP306br,link,road286,21.948739456354097,92.06737123469985,729.7000000000096,-,-
574,N1,LRP307a,bridge,SANTI BOX CULVERT,21.9453993720173,92.0669286609544,1.4,A,S
575,N1,LRP307ar,link,road287,21.940714193732198,92.0647356922658,1161.6000000000108,-,-
576,N1,LRP308a,bridge,BRICK FIELD BOX CULVERT,21.9360290154471,92.0625427235772,4.5,A,S
577,N1,LRP308ar,link,road288,21.9349872284745,92.06210443886366,247.4999999999527,-,-
578,N1,LRP308b,bridge,BACK FILD BOX CULVERT,21.9339454415019,92.0616661541501,9.3,A,S
579,N1,LRP308br,link,road289,21.93312705705665,92.0612335560559,206.70000000000817,-,-
580,N1,LRP309a,bridge,AZIZNAGOR FOREST BOX CULVERT,21.9323086726114,92.0608009579617,4.5,A,S
581,N1,LRP309ar,link,road290,21.931344961305697,92.06024249773085,250.49999999999545,-,-
582,N1,LRP309b,bridge,AZIZ NOGOR FOREST BOX CULVERT,21.93038125,92.0596840375,4.7,A,S
583,N1,LRP309br,link,road291,21.9241466052564,92.0597101681517,1333.3000000000222,-,-
584,N1,LRP310a,bridge,AZIZNAGOR BOX CULVERT,21.9179119605128,92.0597362988034,2.0,A,S
585,N1,LRP310ar,link,road292,21.9173355634247,92.05986311507826,195.00000000000273,-,-
586,N1,LRP310b,bridge,AZIZ NOGAR BOX CULVERT,21.9167591663366,92.0599899313531,3.0,A,S
587,N1,LRP310br,link,road293,21.915415943482202,92.06026857016084,355.0000000000041,-,-
588,N1,LRP311a,bridge,AZIZ NAGOR 1,21.9140727206278,92.0605472089686,4.0,A,S
589,N1,LRP311ar,link,road294,21.9118478163804,92.0605566677915,503.000000000005,-,-
590,N1,LRP311b,bridge,AZIZ NAGOR 2,21.909622912133,92.0605661266144,9.2,A,S
591,N1,LRP311br,link,road295,21.900323282033348,92.0601336011525,1982.7999999999618,-,-
592,N1,LRP313b,bridge,HARBHANG CHOR,21.8910236519337,92.0597010756906,13.64,A,M
593,N1,LRP313br,link,road296,21.886122586651098,92.05935131023425,1095.3600000000372,-,-
594,N1,LRP314a,bridge,GHOIL MARA BOX CULVERT,21.8812215213685,92.0590015447779,9.3,A,S
595,N1,LRP314ar,link,road297,21.87817063076295,92.0590556930582,676.6999999999787,-,-
596,N1,LRP315a,bridge,HARBANG,21.8751197401574,92.0591098413385,3.0,A,S
597,N1,LRP315ar,link,road298,21.8689774408615,92.05929735628115,1390.000000000029,-,-
598,N1,LRP316a,bridge,HARBANG,21.8628351415656,92.0594848712238,3.0,A,S
599,N1,LRP316ar,link,road299,21.86140386064765,92.05983778989115,320.99999999995543,-,-
600,N1,LRP317a,bridge,Harbang Chora Bridge,21.8599725797297,92.0601907085585,56.2,C,L
601,N1,LRP317ar,link,road300,21.85645068489245,92.06057416422394,735.80000000003,-,-
602,N1,LRP318a,bridge,ALIPUR BOX CULVERT,21.8529287900552,92.0609576198894,14.3,A,M
603,N1,LRP318ar,link,road301,21.8518941611848,92.0609533771936,216.69999999999453,-,-
604,N1,LRP318b,bridge,HARBANG,21.8508595323144,92.0609491344978,2.1,A,S
605,N1,LRP318br,link,road302,21.8469148032464,92.06227379917375,961.8999999999986,-,-
606,N1,LRP319a,bridge,HAR BAG BOX CULVERT,21.8429700741784,92.0635984638497,4.5,A,S
607,N1,LRP319ar,link,road303,21.84168182125065,92.0642655055273,318.4999999999791,-,-
608,N1,LRP319b,bridge,HAR BAG BOX CULVERT,21.8403935683229,92.0649325472049,3.0,A,S
609,N1,LRP319br,link,road304,21.83724844180475,92.06660306914385,793.0000000000491,-,-
610,N1,LRP320a,bridge,ATKOTA,21.8341033152866,92.0682735910828,15.8,A,M
611,N1,LRP320ar,link,road305,21.83106456835755,92.06978857292235,696.1999999999891,-,-
612,N1,LRP321a,bridge,AKOTA BAZAR BOX CULVERT,21.8280258214285,92.0713035547619,7.3,A,S
613,N1,LRP321ar,link,road306,21.82690450102035,92.0718250914966,268.70000000001045,-,-
614,N1,LRP321b,bridge,Bodoitola Bridge,21.8257831806122,92.0723466282313,45.0,C,M
615,N1,LRP321br,link,road307,21.82346302783025,92.07318338355469,500.99999999999227,-,-
616,N1,LRP321d,bridge,BODAITALI BOX CULVERT,21.8211428750483,92.0740201388781,12.4,A,M
617,N1,LRP321dr,link,road308,21.819656067634597,92.07398218711859,324.5999999999891,-,-
618,N1,LRP322a,bridge,BODOITOLI BOX CULVERT,21.8181692602209,92.0739442353591,14.0,A,M
619,N1,LRP322ar,link,road309,21.810796531392498,92.0755882240898,1808.0000000000027,-,-
620,N1,LRP323b,bridge,BANIYAR CHORA,21.8034238025641,92.0772322128205,14.0,A,M
621,N1,LRP323br,link,road310,21.79563890547555,92.07804310963606,1757.9999999999914,-,-
622,N1,LRP325a,bridge,NOL BELA-1 BOX CULVERT,21.787854008387,92.0788540064516,20.6,A,M
623,N1,LRP325ar,link,road311,21.7874257461935,92.07890166122576,76.39999999998,-,-
624,N1,LRP325c,bridge,NOL BELA BOX CULVERT,21.786997484,92.0789493159999,21.0,A,M
625,N1,LRP325cr,link,road312,21.785596407555552,92.0790959257777,297.0000000000405,-,-
626,N1,LRP326a,bridge,NOLBELA BOX CULVERT,21.7841953311111,92.0792425355555,14.2,B,M
627,N1,LRP326ar,link,road313,21.77886462666665,92.0815785044444,1417.7999999999595,-,-
628,N1,LRP327a,bridge,DIDDA BAZAR BOX CULVERT,21.7735339222222,92.0839144733333,15.7,A,M
629,N1,LRP327ar,link,road314,21.772564128858498,92.08301221397039,312.3000000000314,-,-
630,N1,LRP328a,bridge,Mathamuhuri Bridge,21.7715943354948,92.0821099546075,294.15,D,XL
631,N1,LRP328ar,link,road315,21.755870476995952,92.08236716458694,3638.8499999999926,-,-
632,N1,LRP331a,bridge,BANDI BAZAR BOX CULVERT,21.7401466184971,92.0826243745664,9.3,B,S
633,N1,LRP331ar,link,road316,21.739354768823,92.08290600324065,178.69999999998817,-,-
634,N1,LRP332a,bridge,KUMARIKOOL BOX CULVERT,21.7385629191489,92.0831876319149,14.0,A,M
635,N1,LRP332ar,link,road317,21.735584889353852,92.08346823250155,659.9999999999782,-,-
636,N1,LRP332b,bridge,PASIYAKALI BOX CULVERT,21.7326068595588,92.0837488330882,5.2,A,S
637,N1,LRP332br,link,road318,21.73179734552525,92.0837822386435,177.80000000004958,-,-
638,N1,LRP332c,bridge,Pasiyakali Bridge,21.7309878314917,92.0838156441988,38.4,C,M
639,N1,LRP332cr,link,road319,21.72753088279955,92.0836798963374,743.5999999999823,-,-
