,road,id,model_type,name,lat,lon,length,condition
684,N1,LRP357c,bridge,KALIRCHARA BOX CULVERT,21.5237332279069,92.0655747598837,8.0,A
685,N1,LRP357cr,link,road344,21.51873760051005,92.06745782522485,197.99999999996044,-
686,N1,LRP357d,bridge,KALIRCHARA BAZAR BOX CULVERT,21.5207709407407,92.0661440629629,15.4,A
687,N1,LRP357dr,link,road345,21.51560531919845,92.06850235921581,323.59999999999866,-
688,N1,LRP357f,bridge,KALIRCHAR,21.5195088091891,92.0666746302702,5.0,A
689,N1,LRP357fr,link,road346,21.513007868326902,92.06998863608581,148.00000000002,-
690,N1,LRP358a,bridge,RASHIDNAGAR,21.5137419731132,92.069340890566,3.0,A
691,N1,LRP358ar,link,road347,21.50943695803545,92.0718930729238,704.99999999997,-
692,N1,LRP358b,bridge,ROSHIDNAGAR CULVERT,21.5104396976562,92.0708606554687,2.5,A
693,N1,LRP358br,link,road348,21.50309659496065,92.074269620552,414.50000000003,-
694,N1,LRP359a,bridge,DOLERCHARA CULVERT,21.5065069274647,92.0733026419014,7.5,A
695,N1,LRP359ar,link,road349,21.500688220914647,92.07581866857501,515.4999999999677,-
696,N1,LRP359b,bridge,DOLERCHARA CULVERT,21.5051319429577,92.0744452552816,12.4,A
697,N1,LRP359br,link,road350,21.491672505696698,92.08458021660725,185.60000000003592,-
698,N1,LRP360a,bridge,ROSHIDNAGAR (2),21.4957534922651,92.0776785856353,14.0,A
699,N1,LRP360ar,link,road351,21.48563497093255,92.0872326184176,1152.9999999999732,-
700,N1,LRP360c,bridge,"ROSHIDNAGAR U,R CULVERT",21.4948695143646,92.0783346952486,14.1,A
701,N1,LRP360cr,link,road352,21.484357073561597,92.0881736407277,113.90000000004275,-
702,N1,LRP363b,bridge,JOARIANALA CULVERT,21.4782130684357,92.0947151779329,7.2,A
703,N1,LRP363br,link,road353,21.47413429938635,92.0976777005769,2788.7999999999925,-
704,N1,LRP364a,bridge,JOARIANALA,21.4755164496,92.0967866511999,14.0,A
705,N1,LRP364ar,link,road354,21.47052899019505,92.0997216697416,368.000000000005,-
706,N1,LRP364c,bridge,JORIANALA,21.4738446327586,92.0980125862068,3.0,A
707,N1,LRP364cr,link,road355,21.462200783946848,92.098740364725,234.99999999999955,-
708,N1,LRP364d,bridge,JOARIANALA BAZAR PC GIDER BRIDGE(L),21.470055530337,92.1006402232209,57.6,A
709,N1,LRP364dr,link,road356,21.4567210464185,92.10095405089615,471.39999999999634,-
710,N1,LRP365a,bridge,JOARIANALA CULVERT,21.4655415307901,92.1026566882833,14.0,B
711,N1,LRP365ar,link,road357,21.4536902511093,92.10168252271305,559.9999999999554,-
712,N1,LRP367a,bridge,MITA CHARI BOX CULVERT,21.4505569351351,92.0994681432432,9.2,A
713,N1,LRP367ar,link,road358,21.443878945183798,92.09891770781346,2086.800000000004,-
714,N1,LRP368a,bridge,RAMU HOSPITAL GATE,21.4433865625,92.1012678785714,1.5,A
715,N1,LRP368ar,link,road359,21.43879751245805,92.09926429264141,839.5000000000082,-
716,N1,LRP368c,bridge,MITACMARI RAMU BRIDGE,21.4418389714285,92.1007083571428,58.6,B
717,N1,LRP368cr,link,road360,21.43632386540855,92.09841332464126,149.40000000002684,-
718,N1,LRP369a,bridge,MARULA (WEST),21.4372009552325,92.0983672723837,3.0,A
719,N1,LRP369ar,link,road361,21.433020493439,92.09687932922981,578.9999999999936,-
